# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
52720.75116834875  0.01005787037  1.32313e+00  1.91496e+00  0.17369
52720.77360469134  0.01015625000  3.65734e-01  1.86774e+00  0.17566
52720.80057228394  0.01504050926  8.08912e-01  1.65159e+00  0.14305
52720.82887089505  0.00916087963  5.80633e-02  2.33077e+00  0.11341
52720.85198432097  0.01006365741  2.25151e-01  2.89280e+00  0.07651
52720.87332691356  0.00919560185  -5.99456e+00  4.70316e+00  0.03405
52720.89514404319  0.00927662037  -9.01346e-01  3.68700e+00  0.05500
52720.91826325616  0.01005787037  -1.01208e+00  2.50126e+00  0.09250
52720.94024242282  0.01001157407  -2.39751e+00  2.21543e+00  0.12519
52722.42328061727  0.01239004630  6.21708e+00  2.55628e+00  0.08202
52722.45118570986  0.01245949074  1.56045e+00  1.29930e+00  0.27935
52722.47891719134  0.01237847222  1.62758e+00  1.10529e+00  0.34237
52722.50681070986  0.01245949074  2.13510e+00  1.06118e+00  0.37811
52722.53450168209  0.01234953704  -1.92011e+00  1.73178e+00  0.15204
52722.56257459875  0.01259837963  -6.24971e+00  5.17801e+00  0.02201
52728.76315908949  0.01038194444  1.04750e+00  1.15482e+00  0.36983
52728.78434543208  0.00939236111  2.73546e+00  1.36416e+00  0.31261
52728.80748779319  0.01018518519  -1.08605e+00  1.54756e+00  0.24155
52728.97846001542  0.01015046296  -9.37976e+00  4.65316e+00  0.03552
52729.00073432097  0.01008680556  -7.74619e-01  2.61341e+00  0.09867
52729.02213478393  0.00929976852  6.21198e-01  2.15421e+00  0.16356
52729.04525978393  0.01007523148  6.01179e+00  1.83666e+00  0.20525
52729.06657922838  0.00920717593  4.34044e+00  1.87699e+00  0.21533
52729.10152135801  0.02181134259  1.85191e+00  1.21612e+00  0.20582
52729.13486047838  0.01113425926  1.28546e+00  1.70385e+00  0.20247
52729.14949589505  0.00345486111  -1.24958e+00  2.99970e+00  0.20961
52729.20074010801  0.00928240741  2.08757e+00  6.11011e+00  0.02316
52729.33545075616  0.01019675926  4.62487e+00  5.67063e+00  0.02281
52729.35659080245  0.00914930556  1.01465e+01  3.60937e+00  0.05847
52729.37993570986  0.01012152778  3.22882e+00  2.37022e+00  0.11714
52729.41971580245  0.00928819444  9.77739e-01  1.96756e+00  0.16627
52729.44206533949  0.00928819444  3.99835e-02  1.75028e+00  0.21369
52729.46520191357  0.01008680556  1.84352e+00  1.57293e+00  0.24588
52729.49241834875  0.01510416667  2.78643e+00  1.21414e+00  0.27413
52729.51880145060  0.00921875000  -2.09928e+00  1.44294e+00  0.32123
52729.54115098764  0.00921875000  3.15409e+00  1.56697e+00  0.27103
52729.56354682097  0.00928819444  4.74378e+00  1.75040e+00  0.20799
52729.58666024690  0.01008680556  -1.97904e+00  2.06230e+00  0.14668
